date;Fruits_pepins;Agrumes;Fruits_tropicaux;Viande_bovine;IPC;Lait;Prix
janv-02;2075596;23913;63;170617;83,85;19109897,42;82,93
févr-02;2075596;23913;63;141927;83,64;19109897,42;81,88
mars-02;2075596;23913;63;154133;83,68;19109897,42;82,76
avr-02;2075596;23913;63;154183;83,76;19109897,42;82,88
mai-02;2075596;23913;63;154313;83,99;19109897,42;83,11
juin-02;2075596;23913;63;131834;83,97;19109897,42;82,41
juil-02;2075596;23913;63;151731;83,51;19109897,42;81,93
août-02;2075596;23913;63;154636;83,09;19109897,42;81,5
sept-02;2075596;23913;63;159928;83,20;19109897,42;81,58
oct-02;2075596;23913;63;174445;83,42;19109897,42;79,92
nov-02;2075596;23913;63;155375;83,45;19109897,42;80,14
déc-02;2075596;23913;63;155254;83,56;19109897,42;80,14
janv-03;1823710;19842;53;167115;84,31;18691399,5;82,46
févr-03;1823710;19842;53;143058;84,67;18691399,5;82,29
mars-03;1823710;19842;53;154839;85,04;18691399,5;83,88
avr-03;1823710;19842;53;161595;85,36;18691399,5;84,35
mai-03;1823710;19842;53;148879;85,35;18691399,5;83,76
juin-03;1823710;19842;53;142516;86,06;18691399,5;82,58
juil-03;1823710;19842;53;153437;85,74;18691399,5;82,54
août-03;1823710;19842;53;144469;85,60;18691399,5;83,04
sept-03;1823710;19842;53;164482;86,26;18691399,5;84,55
oct-03;1823710;19842;53;170508;85,92;18691399,5;82,96
nov-03;1823710;19842;53;144876;85,82;18691399,5;82,09
déc-03;1823710;19842;53;154422;85,56;18691399,5;82,15
janv-04;1939434;22976;58;154740;86,07;18505644,08;84,99
févr-04;1939434;22976;58;137719;85,72;18505644,08;84
mars-04;1939434;22976;58;163215;86,26;18505644,08;86,39
avr-04;1939434;22976;58;145863;86,64;18505644,08;87,18
mai-04;1939434;22976;58;133619;86,87;18505644,08;86,66
juin-04;1939434;22976;58;150922;87,27;18505644,08;85,56
juil-04;1939434;22976;58;135995;86,40;18505644,08;85,62
août-04;1939434;22976;58;146418;85,13;18505644,08;85,1
sept-04;1939434;22976;58;155652;85,25;18505644,08;85,83
oct-04;1939434;22976;58;151926;85,26;18505644,08;84,11
nov-04;1939434;22976;58;151233;85,43;18505644,08;84,48
déc-04;1939434;22976;58;153055;85,64;18505644,08;84,77
janv-05;1959962;19332;58;146012;85,64;18897094,92;88,6
févr-05;1959962;19332;58;134542;86,09;18897094,92;87,63
mars-05;1959962;19332;58;159706;86,83;18897094,92;89,95
avr-05;1959962;19332;58;138837;86,51;18897094,92;89,31
mai-05;1959962;19332;58;140327;86,85;18897094,92;89,43
juin-05;1959962;19332;58;137949;86,65;18897094,92;88,44
juil-05;1959962;19332;58;125159;86,01;18897094,92;87,81
août-05;1959962;19332;58;151161;85,41;18897094,92;87,99
sept-05;1959962;19332;58;151392;85,45;18897094,92;88,75
oct-05;1959962;19332;58;148287;85,60;18897094,92;87,1
nov-05;1959962;19332;58;158983;85,89;18897094,92;87,28
déc-05;1959962;19332;58;152730;86,22;18897094,92;87,39
janv-06;1836620;24999;64;141961;86,59;18517262,58;89,91
févr-06;1836620;24999;64;135899;87,00;18517262,58;88,87
mars-06;1836620;24999;64;161438;87,11;18517262,58;90,26
avr-06;1836620;24999;64;131910;87,30;18517262,58;91,08
mai-06;1836620;24999;64;145034;87,88;18517262,58;91,62
juin-06;1836620;24999;64;136650;87,87;18517262,58;90,69
juil-06;1836620;24999;64;119684;87,66;18517262,58;90,6
août-06;1836620;24999;64;151080;87,28;18517262,58;91
sept-06;1836620;24999;64;142825;87,60;18517262,58;91,05
oct-06;1836620;24999;64;148350;87,33;18517262,58;89,01
nov-06;1836620;24999;64;150488;87,87;18517262,58;89,6
déc-06;1836620;24999;64;132972;87,71;18517262,58;90,23
janv-07;1934370;30150;209217;150222;87,98;18612262,75;92,35
févr-07;1934370;30150;209217;134232;87,63;18612262,75;89,57
mars-07;1934370;30150;209217;151369;87,58;18612262,75;90,95
avr-07;1934370;30150;209217;140990;88,29;18612262,75;92,26
mai-07;1934370;30150;209217;147004;88,69;18612262,75;92,22
juin-07;1934370;30150;209217;136423;89,01;18612262,75;91,24
juil-07;1934370;30150;209217;135859;88,40;18612262,75;91,62
août-07;1934370;30150;209217;149615;88,29;18612262,75;91,89
sept-07;1934370;30150;209217;138639;88,77;18612262,75;92,27
oct-07;1934370;30150;209217;149054;89,23;18612262,75;91,06
nov-07;1934370;30150;209217;142415;89,83;18612262,75;91,57
déc-07;1934370;30150;209217;130189;90,39;18612262,75;92,5
janv-08;1854954;37564;245812;146795;91,68;19270009,83;97,49
févr-08;1854954;37564;245812;140274;91,86;19270009,83;95,68
mars-08;1854954;37564;245812;124531;92,26;19270009,83;97,68
avr-08;1854954;37564;245812;133637;92,87;19270009,83;98,67
mai-08;1854954;37564;245812;131228;93,77;19270009,83;98,92
juin-08;1854954;37564;245812;127659;93,95;19270009,83;99,41
juil-08;1854954;37564;245812;139518;94,02;19270009,83;98,83
août-08;1854954;37564;245812;135119;92,91;19270009,83;99,03
sept-08;1854954;37564;245812;152666;92,98;19270009,83;98,92
oct-08;1854954;37564;245812;154535;93,43;19270009,83;96,97
nov-08;1854954;37564;245812;133038;93,27;19270009,83;96,69
déc-08;1854954;37564;245812;155121;93,31;19270009,83;96,45
janv-09;1913839;39799;265283;147069;93,88;18524536,58;98,33
févr-09;1913839;39799;265283;129108;93,92;18524536,58;96,12
mars-09;1913839;39799;265283;153502;93,79;18524536,58;97,54
avr-09;1913839;39799;265283;138614;93,85;18524536,58;98
mai-09;1913839;39799;265283;131697;94,13;18524536,58;98,21
juin-09;1913839;39799;265283;141501;93,61;18524536,58;97,01
juil-09;1913839;39799;265283;134286;92,96;18524536,58;95,7
août-09;1913839;39799;265283;145193;92,28;18524536,58;96,14
sept-09;1913839;39799;265283;149473;92,70;18524536,58;96,02
oct-09;1913839;39799;265283;143655;93,10;18524536,58;94,44
nov-09;1913839;39799;265283;147025;93,16;18524536,58;94,45
déc-09;1913839;39799;265283;142752;93,05;18524536,58;94,06
janv-10;1899765;35071;270309;143822;93,94;19082613,58;96,35
févr-10;1899765;35071;270309;128451;94,01;19082613,58;95,63
mars-10;1899765;35071;270309;156637;94,34;19082613,58;98,24
avr-10;1899765;35071;270309;136252;94,70;19082613,58;99,15
mai-10;1899765;35071;270309;143953;94,95;19082613,58;98,36
juin-10;1899765;35071;270309;140868;94,80;19082613,58;97,37
juil-10;1899765;35071;270309;131004;94,29;19082613,58;97,44
août-10;1899765;35071;270309;156726;93,46;19082613,58;97,6
sept-10;1899765;35071;270309;155335;93,48;19082613,58;97,73
oct-10;1899765;35071;270309;143517;93,57;19082613,58;94,59
nov-10;1899765;35071;270309;159556;93,99;19082613,58;94,83
déc-10;1899765;35071;270309;148717;94,15;19082613,58;94,81
janv-11;1961455;42309;254709;155634;94,01;19933838,25;96,37
févr-11;1961455;42309;254709;139714;94,30;19933838,25;95,61
mars-11;1961455;42309;254709;164646;95,10;19933838,25;97,68
avr-11;1961455;42309;254709;138634;95,25;19933838,25;98,09
mai-11;1961455;42309;254709;169201;96,21;19933838,25;99,29
juin-11;1961455;42309;254709;144183;96,45;19933838,25;98,79
juil-11;1961455;42309;254709;140242;96,31;19933838,25;98,7
août-11;1961455;42309;254709;153893;96,16;19933838,25;99,41
sept-11;1961455;42309;254709;149376;96,36;19933838,25;99,16
oct-11;1961455;42309;254709;154444;96,71;19933838,25;97,27
nov-11;1961455;42309;254709;161111;96,98;19933838,25;97,54
déc-11;1961455;42309;254709;142070;97,25;19933838,25;98,03
janv-12;1468160;43985;261450;154144;97,34;19623483,58;100,31
févr-12;1468160;43985;261450;134927;97,89;19623483,58;99,05
mars-12;1468160;43985;261450;144470;98,58;19623483,58;100,82
avr-12;1468160;43985;261450;140230;98,58;19623483,58;101,86
mai-12;1468160;43985;261450;150016;99,14;19623483,58;102,46
juin-12;1468160;43985;261450;134726;99,54;19623483,58;102,02
juil-12;1468160;43985;261450;136488;98,93;19623483,58;102,01
