Produit;Indicateur;janv-02;févr-02;mars-02;avr-02;mai-02;juin-02;juil-02;août-02;sept-02;oct-02;nov-02;déc-02;janv-03;févr-03;mars-03;avr-03;mai-03;juin-03;juil-03;août-03;sept-03;oct-03;nov-03;déc-03;janv-04;févr-04;mars-04;avr-04;mai-04;juin-04;juil-04;août-04;sept-04;oct-04;nov-04;déc-04;janv-05;févr-05;mars-05;avr-05;mai-05;juin-05;juil-05;août-05;sept-05;oct-05;nov-05;déc-05;janv-06;févr-06;mars-06;avr-06;mai-06;juin-06;juil-06;août-06;sept-06;oct-06;nov-06;déc-06;janv-07;févr-07;mars-07;avr-07;mai-07;juin-07;juil-07;août-07;sept-07;oct-07;nov-07;déc-07;janv-08;févr-08;mars-08;avr-08;mai-08;juin-08;juil-08;août-08;sept-08;oct-08;nov-08;déc-08;janv-09;févr-09;mars-09;avr-09;mai-09;juin-09;juil-09;août-09;sept-09;oct-09;nov-09;déc-09;janv-10;févr-10;mars-10;avr-10;mai-10;juin-10;juil-10;août-10;sept-10;oct-10;nov-10;déc-10;janv-11;févr-11;mars-11;avr-11;mai-11;juin-11;juil-11;août-11;sept-11;oct-11;nov-11;déc-11;janv-12;févr-12;mars-12;avr-12;mai-12;juin-12;juil-12;août-12;sept-12;oct-12;nov-12;déc-12;janv-13;févr-13;mars-13;avr-13;mai-13;juin-13;juil-13;août-13;sept-13;oct-13;nov-13;déc-13;janv-14;févr-14;mars-14;avr-14;mai-14;juin-14;juil-14;août-14;sept-14;oct-14;nov-14;déc-14;janv-15;févr-15;mars-15;avr-15;mai-15;juin-15;juil-15;août-15;sept-15;oct-15;nov-15;déc-15;janv-16;févr-16;mars-16;avr-16;mai-16;juin-16;juil-16;août-16;sept-16;oct-16;nov-16;déc-16;janv-17;févr-17;mars-17;avr-17;mai-17;juin-17;juil-17;août-17;sept-17;oct-17;nov-17;déc-17;janv-18;févr-18;mars-18;avr-18;mai-18;juin-18;juil-18;août-18;sept-18;oct-18;nov-18;déc-18;janv-19;févr-19;mars-19;avr-19;mai-19;juin-19;juil-19;août-19;sept-19;oct-19;nov-19;déc-19
Steak haché;Euros/kg;16,744;16,744;16,629;16,79;16,721;16,652;16,606;16,606;16,629;16,629;16,537;16,491;16,514;16,56;16,56;16,629;16,537;16,399;16,491;16,606;16,583;16,813;16,974;17,043;17,733;18,124;17,917;17,802;17,825;17,94;17,848;17,963;18,078;18,147;18,515;18,607;18,653;18,952;19,113;19,09;19,32;19,343;19,527;20,148;20,493;20,723;20,631;20,562;20,631;20,677;20,516;20,562;20,47;20,493;20,7;20,608;20,447;20,769;20,631;20,7;20,033;19,987;19,964;19,941;20,079;20,079;20,01;20,171;19,987;19,941;19,803;19,964;21,091;21,413;21,781;21,988;21,896;21,85;21,942;22,356;22,379;22,701;22,701;22,839;22,54;22,563;22,54;22,54;22,655;22,701;22,448;22,701;22,448;22,862;22,862;22,563;22,747;22,586;22,678;22,517;22,402;22,31;22,31;22,379;22,402;22,379;22,379;22,31;22,264;22,379;22,402;22,494;22,931;22,954;23,161;23,299;23,138;23,23;23,391;23,506;23,46;23,552;23,552;23,437;24,012;24,288;24,265;24,38;24,426;24,886;25,3;24,771;24,518;24,748;24,702;24,748;24,794;25,047;25,07;25,093;25,093;25,231;25,162;25,208;25,254;25,139;24,84;24,863;24,909;24,955;25,001;24,863;24,702;24,771;24,817;24,84;24,679;24,61;24,679;24,748;24,886;24,863;24,955;25,484;25,576;25,806;25,829;25,714;25,599;25,461;25,553;25,576;25,507;25,346;25,346;25,277;25,392;25,461;25,392;25,461;25,645;25,668;25,622;25,622;25,691;25,737;25,921;25,967;25,921;25,921;25,76;25,76;25,829;25,829;26,174;26,151;26,013;25,944;26,082;26,197;26,358;26,335;26,404;26,45;26,634;26,818;26,703;26,772;26,91;26,887;27,002;27,002;27,048;27,163;27,186;27,14
Pains et cereales : pÃ¢tes supÃ©rieures;Euros/500 g;5,84;5,84;5,84;5,92;5,92;6;6;6;6;6;6;6;5,92;6;6;6;6;6,08;6,08;6,08;6,08;6,08;6,08;6,08;6,08;6,08;6,08;6,08;6;6;6;6;5,92;5,92;5,92;5,84;5,84;5,84;5,84;5,84;5,84;5,84;5,84;5,84;5,84;5,84;5,84;5,84;5,84;5,84;5,76;5,76;5,68;5,68;5,68;5,68;5,6;5,68;5,68;5,68;5,68;5,6;5,68;5,68;5,68;5,6;5,68;5,68;5,76;5,76;6;6,16;6,56;6,8;6,96;7,04;7,04;7,12;7,2;7,28;7,28;7,2;7,2;7,12;7,12;7,04;7,04;6,96;6,88;6,8;6,8;6,8;6,8;6,8;6,8;6,72;6,64;6,64;6,56;6,56;6,56;6,48;6,48;6,48;6,4;6,4;6,32;6,32;6,32;6,24;6,4;6,48;6,48;6,56;6,56;6,64;6,56;6,56;6,64;6,56;6,56;6,56;6,56;6,56;6,56;6,56;6,56;6,64;6,72;6,72;6,64;6,64;6,64;6,64;6,64;6,56;6,56;6,48;6,48;6,48;6,48;6,4;6,4;6,4;6,32;6,24;6,24;6,24;6,16;6,16;6,08;6,08;6,08;6,08;5,92;6;6,16;6,16;6,16;6,24;6,24;6,24;6,24;6,24;6,32;6,32;6,24;6,24;6,4;6,4;6,32;6,32;6,24;6,24;6,24;6,24;6,24;6,24;6,24;6,24;6,24;6,24;6,16;6,24;6,24;6,16;6,16;6,16;6,16;6,08;6,08;6,08;6,16;6,08;6,08;6,08;6,08;6,08;6,08;6,16;6,08;6,08;6,08;6,08;6,16;6,16;6,24;6,24;6,24;6,24;6,24;6,24;6,16;6,16;6,16;6,16
Emmental francais;Euros/kg;3,232;3,24;3,224;3,248;3,256;3,284;3,284;3,288;3,276;3,292;3,308;3,3;3,308;3,332;3,344;3,352;3,344;3,34;3,344;3,348;3,332;3,332;3,34;3,332;3,328;3,324;3,324;3,3;3,328;3,328;3,32;3,32;3,308;3,304;3,296;3,312;3,284;3,292;3,296;3,276;3,3;3,292;3,308;3,316;3,308;3,312;3,3;3,288;3,292;3,296;3,292;3,292;3,292;3,308;3,312;3,308;3,3;3,296;3,304;3,308;3,304;3,308;3,3;3,284;3,288;3,292;3,3;3,304;3,296;3,304;3,324;3,432;3,52;3,656;3,628;3,64;3,632;3,636;3,616;3,636;3,644;3,592;3,6;3,6;3,588;3,524;3,512;3,508;3,496;3,448;3,412;3,4;3,384;3,368;3,364;3,368;3,348;3,352;3,352;3,336;3,344;3,332;3,328;3,328;3,336;3,336;3,336;3,34;3,304;3,304;3,34;3,368;3,392;3,42;3,432;3,428;3,428;3,44;3,448;3,444;3,444;3,448;3,44;3,432;3,416;3,404;3,408;3,408;3,404;3,4;3,4;3,396;3,384;3,384;3,372;3,356;3,336;3,356;3,38;3,384;3,408;3,4;3,388;3,368;3,376;3,388;3,44;3,468;3,48;3,46;3,46;3,452;3,436;3,428;3,416;3,408;3,408;3,392;3,372;3,352;3,336;3,328;3,316;3,332;3,352;3,364;3,368;3,364;3,392;3,38;3,376;3,368;3,344;3,332;3,312;3,296;3,3;3,292;3,28;3,248;3,256;3,256;3,248;3,272;3,296;3,312;3,316;3,352;3,356;3,368;3,36;3,356;3,348;3,372;3,372;3,368;3,368;3,38;3,364;3,376;3,376;3,38;3,38;3,388;3,364;3,38;3,396;3,412;3,44;3,436;3,448;3,448;3,448;3,44;3,444;3,444
Huile de tournesol;Euros/l;0,84;0,85;0,855;0,855;0,865;0,87;0,88;0,89;0,895;0,9;0,9;0,905;0,905;0,905;0,895;0,89;0,89;0,89;0,89;0,885;0,88;0,88;0,875;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,855;0,86;0,845;0,83;0,825;0,825;0,82;0,82;0,815;0,815;0,82;0,825;0,83;0,83;0,835;0,84;0,845;0,855;0,865;0,875;0,875;0,88;0,88;0,875;0,88;0,875;0,88;0,88;0,885;0,875;0,87;0,87;0,87;0,875;0,875;0,875;0,875;0,875;0,88;0,91;0,93;0,95;0,96;0,97;1;1,025;1,07;1,095;1,11;1,12;1,13;1,135;1,13;1,125;1,115;1,105;1,105;1,1;1,09;1,08;1,07;1,065;1,065;1,055;1,06;1,05;1,045;1,04;1,035;1,035;1,025;1,02;1,015;1,01;1;0,995;1;1,005;1,005;1,04;1,075;1,125;1,135;1,14;1,16;1,16;1,16;1,16;1,16;1,14;1,135;1,13;1,125;1,125;1,13;1,13;1,135;1,13;1,135;1,135;1,135;1,135;1,125;1,125;1,13;1,13;1,125;1,125;1,115;1,11;1,1;1,095;1,09;1,075;1,075;1,075;1,07;1,07;1,065;1,065;1,065;1,065;1,06;1,055;1,06;1,045;1,045;1,045;1,05;1,045;1,045;1,055;1,05;1,05;1,055;1,055;1,05;1,04;1,04;1,045;1,045;1,05;1,045;1,045;1,045;1,045;1,045;1,04;1,04;1,03;1,035;1,03;1,035;1,045;1,045;1,05;1,05;1,045;1,045;1,045;1,035;1,03;1,035;1,03;1,035;1,035;1,04;1,04;1,045;1,045;1,045;1,05;1,05;1,05;1,055;1,06;1,06;1,055;1,055;1,045;1,045;1,05;1,05;1,05;1,045
Beurre extra-fin (250g);Euros/piÃ¨ce;1,1175;1,1175;1,11;1,1175;1,125;1,125;1,1325;1,14;1,1325;1,1325;1,1325;1,14;1,14;1,14;1,14;1,14;1,1475;1,1475;1,1475;1,1475;1,1475;1,155;1,1475;1,1475;1,155;1,1475;1,1475;1,1475;1,1475;1,1475;1,1475;1,1475;1,14;1,14;1,14;1,14;1,14;1,14;1,14;1,14;1,14;1,14;1,14;1,14;1,14;1,14;1,1325;1,1325;1,1325;1,1325;1,1325;1,1325;1,1325;1,1325;1,1325;1,1325;1,1325;1,1325;1,1325;1,1325;1,14;1,1325;1,1325;1,1325;1,125;1,125;1,125;1,1325;1,14;1,155;1,1775;1,2225;1,2825;1,29;1,2975;1,2825;1,2825;1,2675;1,2675;1,2675;1,245;1,2225;1,2225;1,2075;1,2075;1,215;1,2075;1,2075;1,2;1,1925;1,1925;1,185;1,1925;1,1925;1,185;1,185;1,185;1,185;1,1775;1,1775;1,1775;1,1775;1,185;1,1925;1,1925;1,2;1,215;1,215;1,215;1,215;1,2225;1,2375;1,2525;1,26;1,2675;1,2675;1,2675;1,2675;1,2675;1,2675;1,2675;1,2675;1,2675;1,26;1,26;1,2525;1,2525;1,2525;1,2525;1,2525;1,2675;1,26;1,2525;1,245;1,2375;1,2375;1,23;1,2375;1,245;1,245;1,2375;1,245;1,26;1,26;1,245;1,245;1,2675;1,2825;1,275;1,2675;1,26;1,2525;1,2525;1,245;1,245;1,2375;1,23;1,2225;1,2225;1,2225;1,215;1,2375;1,26;1,275;1,29;1,2975;1,2975;1,29;1,29;1,2825;1,275;1,2675;1,2675;1,26;1,2525;1,2675;1,26;1,26;1,26;1,26;1,2525;1,2525;1,2525;1,275;1,2825;1,2975;1,305;1,335;1,3575;1,3875;1,4325;1,4475;1,455;1,4475;1,4625;1,4925;1,515;1,53;1,5375;1,545;1,545;1,545;1,5675;1,59;1,62;1,635;1,6425;1,6425;1,65;1,65;1,65;1,6425;1,6425;1,6425;1,6425;1,65
Oignon;Euros/kg;0,98;0,994;0,987;1,008;1,092;1,169;1,218;1,204;1,148;1,113;1,064;1,036;1,008;1,001;0,987;1,001;1,064;1,176;1,225;1,246;1,19;1,176;1,155;1,148;1,148;1,141;1,134;1,148;1,183;1,204;1,218;1,211;1,183;1,106;1,092;1,064;1,022;1,036;1,015;1,015;1,05;1,043;1,141;1,211;1,169;1,134;1,127;1,071;1,071;1,092;1,043;1,106;1,099;1,155;1,204;1,274;1,253;1,26;1,281;1,274;1,26;1,26;1,239;1,267;1,365;1,407;1,498;1,554;1,526;1,456;1,435;1,414;1,4;1,4;1,365;1,288;1,386;1,4;1,428;1,456;1,414;1,393;1,386;1,344;1,337;1,295;1,274;1,288;1,274;1,323;1,344;1,372;1,365;1,358;1,323;1,344;1,323;1,351;1,337;1,393;1,477;1,505;1,568;1,561;1,568;1,519;1,505;1,505;1,484;1,512;1,526;1,526;1,568;1,624;1,659;1,596;1,589;1,512;1,309;1,365;1,358;1,323;1,33;1,365;1,386;1,484;1,547;1,596;1,568;1,561;1,54;1,512;1,526;1,505;1,526;1,512;1,512;1,589;1,596;1,708;1,687;1,589;1,617;1,582;1,631;1,617;1,603;1,582;1,659;1,701;1,722;1,736;1,68;1,68;1,701;1,666;1,645;1,582;1,533;1,589;1,68;1,757;1,743;1,806;1,757;1,799;1,764;1,757;1,582;1,554;1,54;1,554;1,596;1,61;1,638;1,659;1,638;1,631;1,61;1,61;1,582;1,575;1,54;1,512;1,554;1,589;1,61;1,617;1,596;1,582;1,575;1,568;1,547;1,547;1,561;1,554;1,575;1,631;1,659;1,659;1,652;1,631;1,61;1,603;1,617;1,617;1,631;1,652;1,743;1,827;1,876;1,82;1,757;1,729;1,694;1,673
Tomate;Euros/kg;1,967;2,03;2,597;2,807;2,24;1,603;1,61;1,547;1,554;2,03;1,841;1,743;1,645;1,743;1,939;2,177;1,764;1,799;1,61;1,61;2,282;2,604;1,862;1,722;1,722;1,589;1,911;1,897;1,743;1,498;1,267;1,05;1,225;1,491;1,617;1,967;2,058;2,177;2,177;2,1;2,317;1,764;1,575;1,421;1,456;1,477;1,554;1,449;1,582;1,61;1,729;2,044;2,24;1,75;1,701;1,491;1,841;1,799;1,617;1,561;1,946;1,932;1,925;2,457;2,051;1,638;1,715;1,582;1,61;1,953;1,883;1,876;1,883;1,638;1,813;1,911;2,037;1,834;1,785;1,526;1,512;1,911;1,743;1,841;1,869;1,673;1,764;2,212;2,156;1,778;1,589;1,337;1,442;1,736;1,638;1,638;1,89;2,002;2,429;2,646;2,415;1,918;2,023;1,778;1,841;1,89;2,044;2,149;1,897;1,953;2,023;2,17;2,044;1,82;1,652;1,414;1,533;1,729;1,855;1,778;1,932;1,995;2,156;2,282;2,114;2,1;1,953;2,009;1,82;2,002;1,939;1,89;1,96;1,932;2,079;2,408;2,373;1,939;1,869;1,799;1,631;1,624;1,82;1,876;2,058;1,995;2,219;2,408;1,925;1,918;1,792;1,505;1,869;2,023;2,037;2,009;2,072;2,156;2,107;2,408;2,296;2,086;1,904;1,757;2,156;2,226;2,065;1,869;1,89;1,883;2,03;2,135;1,918;1,568;1,799;1,897;1,981;1,897;2,051;2,093;2,401;2,548;2,205;2,45;2,212;1,785;1,82;1,68;1,771;2,002;2,051;2,226;2,31;2,107;2,058;2,044;2,086;1,61;1,694;1,554;1,939;2,303;1,89;2,345;2,303;2,261;2,079;2,163;1,82;1,715;2,051;2,205;2,268;1,967;2,044;2,156
Sucre;Euros/kg;0,399;0,399;0,399;0,399;0,402;0,402;0,405;0,408;0,411;0,411;0,411;0,414;0,414;0,414;0,414;0,414;0,417;0,42;0,42;0,42;0,42;0,423;0,42;0,423;0,423;0,426;0,429;0,432;0,429;0,432;0,432;0,432;0,429;0,426;0,426;0,426;0,423;0,423;0,426;0,426;0,426;0,429;0,429;0,429;0,429;0,429;0,429;0,429;0,42;0,423;0,417;0,414;0,414;0,411;0,414;0,414;0,411;0,411;0,414;0,414;0,411;0,411;0,411;0,408;0,408;0,408;0,411;0,411;0,408;0,408;0,408;0,411;0,414;0,414;0,417;0,417;0,417;0,417;0,417;0,42;0,423;0,423;0,426;0,426;0,423;0,42;0,423;0,426;0,426;0,426;0,423;0,426;0,426;0,423;0,423;0,42;0,42;0,417;0,417;0,417;0,414;0,414;0,411;0,414;0,411;0,408;0,408;0,408;0,408;0,405;0,408;0,411;0,408;0,408;0,408;0,414;0,417;0,426;0,441;0,447;0,45;0,447;0,441;0,438;0,435;0,432;0,429;0,423;0,423;0,417;0,414;0,414;0,408;0,405;0,405;0,402;0,402;0,396;0,399;0,399;0,396;0,393;0,39;0,39;0,384;0,384;0,381;0,378;0,378;0,378;0,375;0,375;0,372;0,369;0,369;0,369;0,363;0,36;0,36;0,354;0,354;0,348;0,348;0,342;0,339;0,333;0,336;0,33;0,315;0,315;0,315;0,318;0,315;0,315;0,315;0,315;0,312;0,315;0,315;0,312;0,309;0,303;0,3;0,3;0,297;0,3;0,3;0,303;0,303;0,303;0,303;0,3;0,3;0,297;0,297;0,297;0,297;0,297;0,297;0,297;0,297;0,3;0,3;0,297;0,294;0,294;0,294;0,294;0,291;0,291;0,294;0,291;0,291;0,294;0,294;0,294
Lait;Euros/l;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,469;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,469;0,469;0,462;0,469;0,469;0,469;0,469;0,469;0,469;0,469;0,469;0,469;0,469;0,469;0,469;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,455;0,455;0,455;0,455;0,455;0,455;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,462;0,469;0,469;0,476;0,49;0,511;0,532;0,532;0,532;0,532;0,532;0,532;0,539;0,539;0,532;0,532;0,539;0,539;0,532;0,532;0,532;0,532;0,532;0,525;0,518;0,511;0,511;0,511;0,504;0,497;0,497;0,497;0,497;0,497;0,504;0,497;0,504;0,504;0,504;0,511;0,511;0,511;0,511;0,511;0,511;0,518;0,525;0,525;0,525;0,525;0,525;0,532;0,532;0,532;0,532;0,532;0,532;0,532;0,532;0,532;0,532;0,532;0,532;0,532;0,532;0,539;0,532;0,532;0,539;0,539;0,539;0,539;0,546;0,546;0,539;0,539;0,539;0,539;0,539;0,539;0,546;0,553;0,553;0,553;0,546;0,546;0,546;0,546;0,546;0,546;0,553;0,553;0,553;0,553;0,553;0,553;0,553;0,56;0,567;0,574;0,574;0,574;0,574;0,574;0,574;0,574;0,574;0,574;0,574;0,574;0,574;0,574;0,574;0,581;0,581;0,581;0,581;0,588;0,588;0,588;0,588;0,588;0,588;0,595;0,595;0,595;0,595;0,602;0,602;0,602;0,602;0,602;0,602;0,602;0,602;0,602;0,609;0,609;0,609;0,609;0,609;0,609;0,609;0,609;0,609;0,609;0,609;0,609;0,616;0,609
Escalope;Euros/kg;18,09;17,84;17,96;18,11;17,8;18,12;18,18;18,26;18,11;18,05;18,29;18,24;18,02;18,04;18,05;18,17;18,36;18,16;18,42;18,41;18,14;18,35;18,37;18,47;18,47;18,73;18,75;18,67;18,79;18,94;19,05;19,08;19,12;19,04;19,27;19,29;19,25;19,14;19,19;19,31;19,31;19,31;19,42;19,52;19,47;19,37;19,46;19,53;19,76;19,81;20,06;20,1;20,28;20,27;20,5;20,62;20,43;20,47;20,58;20,63;20,69;20,44;20,59;20,55;20,62;20,64;20,75;20,72;20,95;21,24;21,6;21,78;21,91;21,99;21,93;22,01;22,07;22,12;21,96;22,02;22,07;22,1;22,16;22,24;22,19;22,09;22,14;22,01;22,15;22,14;22,04;22,2;22,33;22,26;22,23;22,2;22,23;22,28;22,28;22,27;22,34;22,28;22,23;22,46;22,41;22,28;22,42;22,31;22,41;22,35;22,57;22,48;22,76;22,66;22,8;22,81;22,82;22,77;22,83;22,97;22,94;23;23,04;23;23,1;22,98;23,19;23,07;23,18;23,08;23,47;23,47;23,56;23,59;23,76;23,62;23,71;23,69;23,7;23,68;23,81;23,65;23,85;23,75;23,62;23,89;23,76;23,73;23,81;23,65;24,05;23,9;23,85;24,04;23,9;24,02;23,81;23,76;24;23,9;23,87;23,85;24,01;24;24,02;23,71;24,07;24,12;24,01;23,3;23,6;23,86;23,81;23,61;23,94;23,62;23,88;23,9;23,98;24,17;24,07;24,13;24,25;24,26;24,1;23,89;24,49;24,4;24,3;24,46;24,41;24,56;24,43;24,3;24,29;24,42;24,4;24,43;24,2;24,21;24,44;24,43;24,4;24,39;24,24;24,39;24,3;24,35;24,16;24,49;24,37;24,58;24,55;24,45;24,43;24,52
