,Steak hache,Pains et cereales : pates superieures,Emmental francais,Huile de tournesol,Beurre extra-fin (250g),Oignon,Tomate,Sucre,Lait,Escalope,Pomme,Orange,Banane,Patate,Salade,Carotte,Champignon,Concombre,Courgette,Yaourts nature (500 g),Poisson,Baguette, Panier Mensuel Moyen ,IPC,IPP,Prod céréales,Prod graines(huile),Prod légumes,Prod fruits,FR_prod_bovine,FR_prod_chicken
0,16.744,5.84,3.232,0.84,1.1175,0.98,1.967,0.399,0.462,18.09,0.945,1.141,1.51,0.84,1.91,0.615,2.526,0.0,2.036,5.84,9.144,6.75,82.93,83.85,85.7,105.6188646066798,207.36712849683863,213.48675770431785,162.57236950776345,149.34,62043.0
1,16.744,5.84,3.24,0.85,1.1175,0.994,2.03,0.399,0.462,17.84,0.965,1.225,1.64,0.882,1.83,0.61,2.532,0.0,1.496,5.84,8.598,6.75,81.88,83.64,85.6,102.43870042263171,202.93346758358834,191.3119620975557,155.54327430440847,127.47,69687.0
2,16.629,5.84,3.224,0.855,1.11,0.987,2.597,0.399,0.462,17.96,0.995,1.267,1.81,0.875,1.55,0.63,2.532,1.54,0.984,5.84,7.902,6.775,82.76,83.68,86.0,99.25853623858359,198.49980667033805,169.13716649079356,148.51417910105346,135.59,82800.0
3,16.79,5.92,3.248,0.855,1.1175,1.008,2.807,0.399,0.462,18.11,1.03,1.295,1.82,1.099,1.24,0.695,2.532,1.07,0.748,5.84,8.022,6.775,82.88,83.76,86.4,96.07837205453549,194.06614575708775,146.96237088403143,141.48508389769847,136.37,64757.0
4,16.721,5.92,3.256,0.865,1.125,1.092,2.24,0.402,0.462,17.8,1.095,1.33,1.77,1.197,1.06,0.69,2.538,0.835,0.668,5.92,9.348,6.775,83.11,83.99,86.3,98.4354349203594,195.61525619665713,146.81743757941206,130.60765724222736,139.47,66671.0
5,16.652,6.0,3.284,0.87,1.125,1.169,1.603,0.402,0.462,18.12,1.15,1.393,1.71,1.085,0.98,0.595,2.574,0.785,0.604,5.92,9.15,6.775,82.41,83.97,86.1,100.79249778618328,197.16436663622648,146.67250427479271,119.73023058675624,120.13,79504.0
6,16.606,6.0,3.284,0.88,1.1325,1.218,1.61,0.405,0.462,18.18,1.18,1.365,1.48,0.952,0.98,0.5,2.538,0.905,0.56,5.92,8.952,6.825,81.93,83.51,86.3,103.14956065200717,198.71347707579588,146.52757097017334,108.85280393128511,137.34,63465.0
7,16.606,6.0,3.288,0.89,1.14,1.204,1.547,0.408,0.462,18.26,1.21,1.288,1.45,0.833,0.99,0.46,2.592,0.78,0.668,5.92,8.628,6.875,81.5,83.09,86.5,102.88766477802675,205.444094847718,143.19410496392805,116.39239208236978,137.18,64404.0
8,16.629,6.0,3.276,0.895,1.1325,1.148,1.554,0.411,0.462,18.11,1.115,1.253,1.55,0.812,1.13,0.44,2.58,1.02,0.652,5.92,8.586,6.9,81.58,83.2,86.7,102.6257689040463,212.17471261964013,139.86063895768277,123.93198023345447,138.43,78242.0
9,16.629,6.0,3.292,0.9,1.1325,1.113,2.03,0.411,0.469,18.05,0.98,1.239,1.44,0.0,1.18,0.42,2.544,0.0,0.704,5.92,8.544,6.925,79.92,83.42,86.8,102.36387303006588,218.90533039156225,136.52717295143748,131.47156838453913,149.05,61085.0
10,16.537,6.0,3.308,0.9,1.1325,1.064,1.841,0.411,0.462,18.29,0.955,1.26,1.39,0.0,1.14,0.415,2.55,0.0,0.744,5.92,8.874,6.95,80.14,83.45,86.4,100.30611973450534,214.364834275583,158.26716864434155,137.12625949785266,131.89,53092.0
11,16.491,6.0,3.3,0.905,1.14,1.036,1.743,0.414,0.462,18.24,0.96,1.176,1.41,0.0,1.16,0.415,2.58,0.0,1.096,5.92,8.742,6.95,80.14,83.56,86.8,98.2483664389448,209.82433815960383,180.0071643372456,142.78095061116616,137.6,77714.0
12,16.514,5.92,3.308,0.905,1.14,1.008,1.645,0.414,0.462,18.02,0.97,1.211,1.62,0.896,1.48,0.525,2.604,0.0,1.38,5.84,9.648,6.95,82.46,84.31,87.1,96.19061314338427,205.28384204362462,201.74716003014964,148.43564172447967,144.65,63350.0
13,16.56,6.0,3.332,0.905,1.14,1.001,1.743,0.414,0.462,18.04,0.98,1.239,1.67,0.777,1.73,0.53,2.622,0.0,1.692,5.84,8.64,6.975,82.29,84.67,87.7,96.04095835825258,204.48257802315769,181.98791950037685,153.50130251348972,124.09,66009.0
14,16.56,6.0,3.344,0.895,1.14,0.987,1.939,0.414,0.462,18.05,1.005,1.274,1.71,0.833,1.89,0.53,2.604,1.49,1.432,5.84,8.454,7.025,83.88,85.04,87.9,95.89130357312092,203.68131400269078,162.22867897060405,158.56696330249972,136.33,77558.0
15,16.629,6.0,3.352,0.89,1.14,1.001,2.177,0.414,0.462,18.17,1.03,1.302,1.74,1.176,1.58,0.55,2.598,1.1,1.116,5.84,9.06,7.025,84.35,85.36,87.0,95.74164878798923,202.88004998222385,142.46943844083125,163.63262409150974,143.46,65676.0
16,16.537,6.0,3.344,0.89,1.1475,1.064,1.764,0.417,0.462,18.36,1.075,1.344,1.62,1.211,1.17,0.625,2.616,0.935,0.668,5.84,9.618,7.05,83.76,85.35,86.4,101.98973606723668,196.6301906225819,154.93370263809626,162.96505639063247,134.92,66157.0
17,16.399,6.08,3.34,0.89,1.1475,1.176,1.799,0.42,0.469,18.16,1.14,1.393,1.62,1.05,1.03,0.56,2.622,0.97,0.548,5.84,8.874,7.05,82.58,86.06,86.5,108.23782334648412,190.38033126293993,167.39796683536125,162.29748868975514,129.75,80498.0
18,16.491,6.08,3.344,0.89,1.1475,1.225,1.61,0.42,0.469,18.42,1.145,1.379,1.51,0.917,1.1,0.535,2.622,0.87,0.608,5.84,8.844,7.075,82.54,85.74,86.6,114.48591062573156,184.13047190329797,179.86223103262623,161.62992098887787,135.78,67616.0
19,16.606,6.08,3.348,0.885,1.1475,1.246,1.61,0.42,0.462,18.41,1.145,1.358,1.44,0.868,1.44,0.535,2.652,1.205,0.592,5.84,8.646,7.1,83.04,85.6,86.8,121.93123618603241,190.8610896752201,176.3838317217616,158.841844120508,128.08,66434.0
20,16.583,6.08,3.332,0.88,1.1475,1.19,2.282,0.42,0.469,18.14,1.13,1.344,1.43,0.742,1.64,0.605,2.67,1.175,1.092,5.84,9.156,7.2,84.55,86.26,86.7,129.37656174633327,197.5917074471422,172.90543241089694,156.05376725213816,144.29,78172.0
21,16.813,6.08,3.332,0.88,1.155,1.176,2.604,0.423,0.469,18.35,1.08,1.323,1.43,0.0,1.24,0.625,2.67,0.0,0.74,5.92,9.426,7.225,82.96,85.92,86.8,136.8218873066341,204.3223252190643,169.4270331000323,153.2656903837683,145.92,64005.0
22,16.974,6.08,3.34,0.875,1.1475,1.155,1.862,0.42,0.469,18.37,1.075,1.337,1.4,0.0,1.25,0.62,2.646,0.0,0.888,5.84,9.096,7.25,82.09,85.82,87.0,136.89671469919995,207.1534580913808,164.9341006568321,156.9962157710237,125.85,56041.0
23,17.043,6.08,3.332,0.87,1.1475,1.148,1.722,0.423,0.469,18.47,1.075,1.239,1.47,0.0,1.33,0.59,2.664,0.0,0.944,5.92,8.94,7.275,82.15,85.56,86.8,136.97154209176574,209.9845909636972,160.44116821363195,160.7267411582792,138.95,78372.0
24,17.733,6.08,3.328,0.87,1.155,1.148,1.722,0.423,0.469,18.47,1.1,1.246,1.5,0.854,1.58,0.58,2.658,0.0,0.864,5.84,10.068,7.3,84.99,86.07,87.1,137.0463694843316,212.8157238360137,155.94823577043175,164.45726654553462,133.59,64261.0
25,18.124,6.08,3.324,0.87,1.1475,1.141,1.589,0.426,0.469,18.73,1.1,1.267,1.52,0.896,1.31,0.57,2.664,0.0,0.788,5.84,8.82,7.325,84.0,85.72,87.1,132.0703478787034,211.80078941008892,150.7306368041348,165.7924019472892,120.91,65471.0
26,17.917,6.08,3.324,0.87,1.1475,1.134,1.911,0.429,0.469,18.75,1.115,1.323,1.56,1.05,1.28,0.585,2.658,1.29,0.8,5.84,9.528,7.325,86.39,86.26,87.8,127.09432627307518,210.78585498416413,145.51303783783783,167.1275373490438,143.9,76417.0
27,17.802,6.08,3.3,0.87,1.1475,1.148,1.897,0.432,0.469,18.67,1.13,1.372,1.62,1.302,1.21,0.61,2.658,1.175,0.944,5.84,10.176,7.325,87.18,86.64,88.2,122.11830466744699,209.77092055823937,140.29543887154085,168.46267275079836,130.31,61917.0
28,17.825,6.0,3.328,0.87,1.1475,1.183,1.743,0.429,0.469,18.79,1.165,1.393,1.58,1.288,1.08,0.61,2.664,1.095,0.808,5.84,10.026,7.325,86.66,86.87,88.7,114.9348749811266,194.22639856118116,135.51263981910196,152.59812268289102,122.61,62364.0
29,17.94,6.0,3.328,0.87,1.1475,1.204,1.498,0.432,0.469,18.94,1.195,1.414,1.61,1.148,1.03,0.57,2.652,0.93,0.656,5.84,9.366,7.325,85.56,87.27,88.7,107.75144529480617,178.68187656412292,130.72984076666307,136.73357261498364,138.64,72193.0
30,17.848,6.0,3.32,0.87,1.1475,1.218,1.267,0.432,0.469,19.05,1.23,1.449,1.58,1.071,0.97,0.51,2.646,0.795,0.668,5.84,9.894,7.35,85.62,86.4,89.1,100.56801560848575,163.13735456706468,125.94704171422418,120.8690225470763,124.22,59838.0
31,17.963,6.0,3.32,0.855,1.1475,1.211,1.05,0.432,0.469,19.08,1.33,1.449,1.47,0.966,0.97,0.485,2.658,0.865,0.548,5.84,9.588,7.4,85.1,85.13,89.5,98.58508970549106,165.54114662846544,134.88459549908475,128.99764102246448,134.11,59649.0
32,18.078,5.92,3.308,0.86,1.14,1.183,1.225,0.429,0.462,19.12,1.26,1.421,1.38,0.84,1.15,0.475,2.646,0.85,0.696,5.76,10.206,7.425,85.83,85.25,89.5,96.60216380249636,167.9449386898662,143.82214928394527,137.12625949785266,134.52,72902.0
33,18.147,5.92,3.304,0.845,1.14,1.106,1.491,0.426,0.462,19.04,1.05,1.407,1.43,0.0,1.16,0.465,2.64,0.0,0.612,5.76,10.278,7.425,84.11,85.26,90.0,94.61923789950167,170.34873075126697,152.75970306880586,145.25487797324084,131.18,56816.0
34,18.515,5.92,3.296,0.83,1.14,1.092,1.617,0.426,0.462,19.27,1.005,1.337,1.4,0.0,1.29,0.46,2.64,0.0,0.684,5.76,9.888,7.45,84.48,85.43,89.7,92.0751065522632,164.15228899298947,162.56685668138257,144.94072846694561,131.55,52003.0
35,18.607,5.84,3.312,0.825,1.14,1.064,1.967,0.426,0.462,19.29,1.025,1.232,1.61,0.0,1.49,0.45,2.646,0.0,0.912,5.76,9.264,7.45,84.77,85.64,89.5,89.53097520502472,157.95584723471194,172.3740102939593,144.62657896065045,134.51,89185.0
36,18.653,5.84,3.284,0.825,1.14,1.022,2.058,0.423,0.462,19.25,1.025,1.211,1.63,0.805,1.5,0.45,2.682,0.0,1.304,5.76,11.85,7.425,88.6,85.64,89.6,69.047797731569,59.0941297631308,86.72954800149422,103.98445966670076,127.27,59262.0
37,18.952,5.84,3.292,0.82,1.14,1.036,2.177,0.423,0.462,19.14,1.015,1.267,1.78,0.854,1.71,0.465,2.664,0.0,1.84,5.76,9.54,7.45,87.63,86.09,89.4,68.38736925015753,58.93553038105047,86.03847590586477,102.4729577752786,117.56,60774.0
38,19.113,5.84,3.296,0.82,1.14,1.015,2.177,0.426,0.462,19.19,1.03,1.386,1.82,0.91,2.07,0.5,2.628,1.665,1.404,5.76,9.822,7.475,89.95,86.83,90.5,67.72694076874608,58.77693099897014,85.34740381023533,100.96145588385647,138.64,78094.0
39,19.09,5.84,3.276,0.815,1.14,1.015,2.1,0.426,0.462,19.31,1.045,1.435,1.85,1.26,1.76,0.54,2.652,1.22,0.78,5.68,10.134,7.475,89.31,86.51,90.7,67.0665122873346,58.61833161688981,84.65633171460591,99.44995399243432,125.94,65555.0
40,19.32,5.84,3.3,0.815,1.14,1.05,2.317,0.426,0.462,19.31,1.095,1.414,1.93,1.288,1.22,0.605,2.634,1.145,0.64,5.68,10.32,7.475,89.43,86.85,90.5,69.21290485192188,59.53820803295572,81.34494458971487,94.09099274102851,131.56,64692.0
41,19.343,5.84,3.292,0.82,1.14,1.043,1.764,0.429,0.455,19.31,1.115,1.421,2.03,1.071,1.06,0.645,2.628,0.955,0.684,5.68,10.242,7.475,88.44,86.65,91.3,71.35929741650914,60.45808444902163,78.0335574648238,88.73203148962274,127.06,77907.0
42,19.527,5.84,3.308,0.825,1.14,1.141,1.575,0.429,0.455,19.42,1.11,1.407,1.87,0.945,1.04,0.61,2.61,0.945,0.62,5.68,9.84,7.475,87.81,86.01,91.5,73.50568998109641,61.377960865087545,74.72217033993276,83.37307023821695,115.51,62665.0
43,20.148,5.84,3.316,0.83,1.14,1.211,1.421,0.429,0.455,19.52,1.08,1.337,1.65,0.826,1.15,0.55,2.628,0.84,0.66,5.68,9.78,7.5,87.99,85.41,91.9,73.60475425330813,61.726879505664265,72.56257004109078,84.40363970964114,137.6,60355.0
44,20.493,5.84,3.308,0.83,1.14,1.169,1.456,0.429,0.455,19.47,1.05,1.302,1.72,0.84,1.18,0.52,2.622,0.835,0.704,5.68,10.152,7.55,88.75,85.45,92.3,73.70381852551985,62.07579814624099,70.40296974224879,85.43420918106534,133.31,75660.0
45,20.723,5.84,3.312,0.835,1.14,1.134,1.477,0.429,0.455,19.37,0.95,1.26,1.69,0.0,1.15,0.495,2.61,0.0,0.712,5.68,10.266,7.575,87.1,85.6,92.5,73.80288279773157,62.42471678681771,68.2433694434068,86.46477865248953,129.33,61201.0
46,20.631,5.84,3.3,0.84,1.1325,1.127,1.554,0.429,0.455,19.46,0.935,1.302,1.68,0.0,1.13,0.475,2.58,0.0,0.724,5.68,10.428,7.575,87.28,85.89,91.8,73.2745400126024,61.40968074150361,75.18288507035238,88.73203148962274,136.13,52344.0
47,20.562,5.84,3.288,0.845,1.1325,1.071,1.449,0.429,0.462,19.53,0.96,1.302,1.74,0.0,1.35,0.475,2.622,0.0,0.952,5.68,10.128,7.575,87.39,86.22,92.0,72.74619722747322,60.394644696189495,82.12240069729798,90.99928432675596,134.52,72400.0
48,20.631,5.84,3.292,0.855,1.1325,1.071,1.582,0.42,0.462,19.76,0.97,1.316,1.73,0.987,1.67,0.48,2.664,0.0,1.16,5.6,10.716,7.575,89.91,86.59,92.6,72.21785444234405,59.37960865087539,89.06191632424355,93.26653716388917,123.69,57921.0
49,20.677,5.84,3.296,0.865,1.1325,1.092,1.61,0.423,0.462,19.81,0.965,1.351,1.76,0.945,1.77,0.5,2.628,0.0,1.2,5.6,9.342,7.6,88.87,87.0,92.6,72.31691871455577,60.58496395468589,87.79495081558959,96.25518863101932,117.66,53736.0
50,20.516,5.76,3.292,0.875,1.1325,1.043,1.729,0.417,0.462,20.06,0.985,1.351,1.77,0.952,1.53,0.53,2.64,1.49,0.852,5.6,9.672,7.6,90.26,87.11,93.3,72.41598298676749,61.7903192584964,86.52798530693565,99.24384009814948,140.99,54479.0
51,20.562,5.76,3.292,0.875,1.1325,1.106,2.044,0.414,0.462,20.1,1.01,1.372,1.72,1.155,1.24,0.585,2.64,1.055,0.752,5.52,10.656,7.625,91.08,87.3,94.0,72.51504725897921,62.99567456230691,85.26101979828167,102.23249156527963,118.47,45489.0
52,20.47,5.68,3.292,0.88,1.1325,1.099,2.24,0.414,0.462,20.28,1.08,1.33,1.69,1.344,1.24,0.62,2.646,0.955,0.672,5.52,10.944,7.625,91.62,87.88,94.2,76.34553245116572,64.6768280123584,85.60655584609637,102.43860545956447,131.23,52140.0
53,20.493,5.68,3.308,0.88,1.1325,1.155,1.75,0.411,0.462,20.27,1.135,1.337,1.69,1.218,1.25,0.62,2.658,0.955,0.676,5.52,10.464,7.625,90.69,87.87,94.4,80.17601764335224,66.3579814624099,85.9520918939111,102.6447193538493,125.42,71520.0
54,20.7,5.68,3.312,0.875,1.1325,1.204,1.701,0.414,0.462,20.5,1.16,1.344,1.63,1.127,1.23,0.595,2.664,0.97,0.568,5.44,10.242,7.65,90.6,87.66,95.2,84.00650283553875,68.03913491246138,86.29762794172582,102.85083324813414,110.34,56431.0
55,20.608,5.68,3.308,0.88,1.1325,1.274,1.491,0.414,0.462,20.62,1.235,1.351,1.54,1.064,1.45,0.56,2.658,1.01,0.66,5.44,10.512,7.65,91.0,87.28,95.5,89.25690926275992,69.43480947476829,83.44695554725439,100.92710356814231,135.59,59202.0
56,20.447,5.6,3.3,0.875,1.1325,1.253,1.841,0.411,0.462,20.43,1.22,1.365,1.52,0.868,1.53,0.575,2.718,0.985,0.792,5.44,10.56,7.725,91.05,87.6,94.8,94.5073156899811,70.8304840370752,80.59628315278297,99.00337388815049,125.2,70410.0
57,20.769,5.68,3.296,0.88,1.1325,1.26,1.799,0.411,0.462,20.47,1.08,1.386,1.47,0.0,1.33,0.56,2.676,0.0,0.704,5.44,10.458,7.75,89.01,87.33,94.6,99.75772211720228,72.22615859938209,77.74561075831154,97.07964420815868,131.03,58545.0
58,20.631,5.68,3.304,0.88,1.1325,1.281,1.617,0.414,0.462,20.58,1.05,1.33,1.54,0.0,1.33,0.545,2.664,0.0,0.996,5.44,10.944,7.775,89.6,87.87,94.4,99.09729363579079,71.8455200823893,76.5074399203088,98.8316123095798,129.14,52563.0
59,20.7,5.68,3.308,0.885,1.1325,1.274,1.561,0.414,0.462,20.63,1.065,1.267,1.57,0.0,1.29,0.54,2.676,0.0,1.024,5.44,11.514,7.8,90.23,87.71,94.2,98.43686515437935,71.46488156539651,75.26926908230607,100.58358041100091,120.75,70901.0
60,20.033,5.68,3.304,0.875,1.14,1.26,1.946,0.411,0.462,20.69,1.055,1.295,1.6,1.085,1.54,0.545,2.706,0.0,0.916,5.36,12.618,7.825,92.35,87.98,94.3,97.77643667296786,71.08424304840372,74.03109824430334,102.33554851242204,133.21,57419.4
61,19.987,5.6,3.308,0.87,1.1325,1.26,1.932,0.411,0.462,20.44,1.06,1.316,1.63,1.176,1.33,0.55,2.7,0.0,0.88,5.36,10.344,7.825,89.57,87.63,94.9,99.29542218021423,71.05252317198764,77.34248536919438,104.43103977098454,116.06,58933.6
62,19.964,5.68,3.3,0.87,1.1325,1.239,1.925,0.411,0.462,20.59,1.065,1.323,1.66,1.162,1.29,0.56,2.706,1.46,0.856,5.28,10.164,7.85,90.95,87.58,95.4,100.81440768746063,71.02080329557157,80.65387249408543,106.52653102954709,133.44,75857.4
