"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","PPI","DOMESTIC","IDX2015","M","2002-01",85.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-02",85.6,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-03",86,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-04",86.4,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-05",86.3,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-06",86.1,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-07",86.3,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-08",86.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-09",86.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-10",86.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-11",86.4,
"FRA","PPI","DOMESTIC","IDX2015","M","2002-12",86.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-01",87.1,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-02",87.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-03",87.9,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-04",87,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-05",86.4,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-06",86.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-07",86.6,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-08",86.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-09",86.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-10",86.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-11",87,
"FRA","PPI","DOMESTIC","IDX2015","M","2003-12",86.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-01",87.1,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-02",87.1,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-03",87.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-04",88.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-05",88.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-06",88.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-07",89.1,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-08",89.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-09",89.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-10",90,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-11",89.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2004-12",89.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-01",89.6,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-02",89.4,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-03",90.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-04",90.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-05",90.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-06",91.3,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-07",91.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-08",91.9,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-09",92.3,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-10",92.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-11",91.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2005-12",92,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-01",92.6,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-02",92.6,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-03",93.3,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-04",94,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-05",94.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-06",94.4,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-07",95.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-08",95.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-09",94.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-10",94.6,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-11",94.4,
"FRA","PPI","DOMESTIC","IDX2015","M","2006-12",94.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2007-01",94.3,
"FRA","PPI","DOMESTIC","IDX2015","M","2007-02",94.9,
"FRA","PPI","DOMESTIC","IDX2015","M","2007-03",95.4,
"FRA","PPI","DOMESTIC","IDX2015","M","2007-04",96,
"FRA","PPI","DOMESTIC","IDX2015","M","2007-05",96.4,
