TIME_PERIOD,FR_price_Goods_services_consumed_agri_prod10
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,93.4
2005-04-01,93.4
2005-07-01,94.1
2005-10-01,94.2
2006-01-01,94.6
2006-04-01,94.4
2006-07-01,94.3
2006-10-01,95.0
2007-01-01,95.9
2007-04-01,97.0
2007-07-01,99.7
2007-10-01,104.1
2008-01-01,107.8
2008-04-01,111.1
2008-07-01,113.3
2008-10-01,109.6
2009-01-01,106.1
2009-04-01,103.1
2009-07-01,99.9
2009-10-01,98.1
2010-01-01,98.0
2010-04-01,98.1
2010-07-01,99.9
2010-10-01,104.0
2011-01-01,107.7
2011-04-01,108.1
2011-07-01,108.5
2011-10-01,107.8
2012-01-01,107.2
2012-04-01,107.7
2012-07-01,111.1
2012-10-01,112.9
2013-01-01,112.7
2013-04-01,110.7
2013-07-01,109.0
2013-10-01,107.1
2014-01-01,107.2
2014-04-01,106.9
2014-07-01,105.8
2014-10-01,103.7
2015-01-01,104.0
2015-04-01,103.7
2015-07-01,102.7
2015-10-01,101.7
2016-01-01,100.8
2016-04-01,99.5
2016-07-01,98.6
2016-10-01,98.8
2017-01-01,100.3
2017-04-01,99.1
2017-07-01,98.3
2017-10-01,98.7
