TIME_PERIOD,FR_price_Goods_services_contributing_agri_prod10
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,95.6
2005-04-01,94.8
2005-07-01,95.0
2005-10-01,95.3
2006-01-01,95.4
2006-04-01,94.8
2006-07-01,95.5
2006-10-01,96.2
2007-01-01,97.0
2007-04-01,96.5
2007-07-01,97.0
2007-10-01,97.0
2008-01-01,97.0
2008-04-01,97.6
2008-07-01,99.6
2008-10-01,100.8
2009-01-01,101.1
2009-04-01,99.8
2009-07-01,100.0
2009-10-01,99.9
2010-01-01,99.6
2010-04-01,99.9
2010-07-01,100.3
2010-10-01,100.1
2011-01-01,100.5
2011-04-01,100.1
2011-07-01,100.5
2011-10-01,99.8
2012-01-01,99.5
2012-04-01,99.0
2012-07-01,99.4
2012-10-01,99.8
2013-01-01,100.4
2013-04-01,100.0
2013-07-01,99.9
2013-10-01,100.6
2014-01-01,100.8
2014-04-01,100.4
2014-07-01,99.9
2014-10-01,100.1
2015-01-01,100.3
2015-04-01,99.7
2015-07-01,100.1
2015-10-01,100.1
2016-01-01,100.8
2016-04-01,99.8
2016-07-01,100.3
2016-10-01,100.6
2017-01-01,100.6
2017-04-01,100.5
2017-07-01,101.5
2017-10-01,102.0
