TIME_PERIOD,EU27_2020_price_Goods_services_contributing_agri_prod15,EU28_price_Goods_services_contributing_agri_prod15,FR_price_Goods_services_contributing_agri_prod15
2015Q1,100.37,100.42,100.25
2015Q2,99.32,99.4,99.79
2015Q3,99.91,99.89,100.04
2015Q4,100.41,100.31,99.92
2016Q1,101.36,101.22,100.38
2016Q2,100.42,100.34,99.55
2016Q3,100.78,100.69,100.06
2016Q4,101.13,100.99,100.43
2017Q1,101.49,101.34,100.58
2017Q2,101.07,100.81,100.91
2017Q3,101.5,101.26,101.39
2017Q4,101.95,101.7,102.04
2018Q1,102.92,102.64,102.47
2018Q2,101.76,101.73,102.23
2018Q3,102.21,102.14,102.71
2018Q4,102.39,102.28,103.65
2019Q1,103.73,103.56,103.95
2019Q2,102.59,102.44,103.07
2019Q3,102.86,102.65,102.94
2019Q4,102.97,102.71,103.07
2020Q1,104.27,,103.79
2020Q2,103.94,,103.48
2020Q3,104.07,,103.02
2020Q4,104.75,,104.19
2021Q1,105.33,,105.56
2021Q2,105.12,,106.01
2021Q3,106.48,,108.49
2021Q4,106.85,,109.77
