TIME_PERIOD,EU27_2007_prod_bovine,EU27_2020_prod_bovine,EU28_prod_bovine,FR_prod_bovine
2000-01,,,,134.82
2000-02,,,,127.47
2000-03,,,,144.23
2000-04,,,,124.41
2000-05,,,,144.02
2000-06,,,,127.53
2000-07,,,,123.43
2000-08,,,,140.53
2000-09,,,,133.22
2000-10,,,,129.13
2000-11,,,,87.18
2000-12,,,,111.56
2001-01,,,,114.21
2001-02,,,,110.43
2001-03,,,,123.31
2001-04,,,,132.2
2001-05,,,,132.47
2001-06,,,,118.82
2001-07,,,,125.2
2001-08,,,,140.37
2001-09,,,,130.81
2001-10,,,,156.68
2001-11,,,,147.45
2001-12,,,,133.73
2002-01,,,,149.34
2002-02,,,,127.47
2002-03,,,,135.59
2002-04,,,,136.37
2002-05,,,,139.47
2002-06,,,,120.13
2002-07,,,,137.34
2002-08,,,,137.18
2002-09,,,,138.43
2002-10,,,,149.05
2002-11,,,,131.89
2002-12,,,,137.6
2003-01,,,,144.65
2003-02,,,,124.09
2003-03,,,,136.33
2003-04,,,,143.46
2003-05,,,,134.92
2003-06,,,,129.75
2003-07,,,,135.78
2003-08,,,,128.08
2003-09,,,,144.29
2003-10,,,,145.92
2003-11,,,,125.85
2003-12,,,,138.95
2004-01,673.36,614.28,676.95,133.59
2004-02,614.64,561.93,618.24,120.91
2004-03,714.6,661.14,718.2,143.9
2004-04,646.84,585.32,650.94,130.31
2004-05,606.03,554.34,610.13,122.61
2004-06,633.59,586.96,637.7,138.64
2004-07,627.66,570.07,632.49,124.22
2004-08,650.79,600.81,655.63,134.11
2004-09,696.2,644.69,701.03,134.52
2004-10,708.44,639.87,712.88,131.18
2004-11,735.09,677.18,739.54,131.55
2004-12,991.58,922.67,996.03,134.51
2005-01,609.15,551.43,612.8,127.27
2005-02,607.9,551.21,611.26,117.56
2005-03,662.74,609.99,666.46,138.64
2005-04,643.97,574.37,647.87,125.94
2005-05,630.94,576.24,635.36,131.56
2005-06,619.28,565.84,623.9,127.06
2005-07,595.25,532.75,600.27,115.51
2005-08,671.96,619.73,677.27,137.6
2005-09,691.27,631.33,696.31,133.31
2005-10,702.8,632.9,707.79,129.33
2005-11,732.93,669.79,737.82,136.13
2005-12,914.43,859.02,919.29,134.52
2006-01,670.65,596.54,674.26,123.69
2006-02,619.28,558.98,622.94,117.66
2006-03,729.85,669.57,734.51,140.99
2006-04,629.65,559.86,634.13,118.47
2006-05,680.97,618.6,686.1,131.23
2006-06,644.55,584.92,649.59,125.42
2006-07,616.85,543.34,622.15,110.34
2006-08,677.25,623.26,682.69,135.59
2006-09,689.72,626.43,695.67,125.2
2006-10,749.63,667.35,755.22,131.03
2006-11,736.31,666.25,741.69,129.14
2006-12,687.08,628.8,692.23,120.75
2007-01,702.95,622.92,706.84,133.21
2007-02,630.94,563.21,634.67,116.06
2007-03,699.69,633.96,703.99,133.44
2007-04,651.57,573.28,655.84,127.7
2007-05,676.42,613.83,681.01,135.31
2007-06,643.24,578.84,647.96,124.62
2007-07,667.35,589.09,672.79,125.11
2007-08,686.56,633.76,691.85,136.63
2007-09,661.67,599.49,666.44,120.52
2007-10,773.24,690.33,778.11,137.62
2007-11,730.37,659.19,734.8,125.0
2007-12,679.66,618.47,684.13,116.61
2008-01,689.73,610.69,693.83,127.76
2008-02,643.34,576.64,647.24,118.13
2008-03,641.84,581.04,646.54,122.13
2008-04,676.33,596.83,680.83,130.32
2008-05,641.98,582.46,646.88,123.32
2008-06,640.32,581.3,645.32,118.91
2008-07,662.14,590.98,667.94,129.58
2008-08,634.84,581.01,640.44,122.1
2008-09,720.72,654.47,725.72,134.09
2008-10,755.83,672.86,761.03,137.5
2008-11,660.85,594.56,665.55,118.16
2008-12,704.21,644.99,708.91,136.22
2009-01,652.08,576.36,655.48,124.75
2009-02,588.96,526.3,592.16,112.03
2009-03,671.78,611.42,675.38,135.94
2009-04,618.95,543.45,622.45,120.95
2009-05,605.38,544.8,608.98,118.02
2009-06,632.61,571.03,636.71,127.82
2009-07,627.23,556.43,631.93,117.98
2009-08,620.66,567.11,625.26,131.1
2009-09,677.65,615.09,682.15,127.58
2009-10,698.05,612.79,702.65,122.37
2009-11,687.03,617.11,691.53,127.11
2009-12,659.9,597.32,664.4,124.52
2010-01,627.78,553.52,631.61,124.58
2010-02,593.79,526.49,597.58,111.31
2010-03,694.18,628.72,699.08,136.85
2010-04,619.86,538.67,623.94,118.45
2010-05,626.29,561.56,630.79,129.13
2010-06,637.81,573.8,642.35,123.71
2010-07,617.75,538.5,622.99,115.4
2010-08,664.25,603.73,669.6,139.6
2010-09,,,,131.29
2010-10,703.37,612.43,708.17,121.75
2010-11,,,,137.39
